timestamp,model,provider,operation,namespace,cost_usd_cumulative
1787765700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787766000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787766300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787766600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787766900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787767200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787767500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787767800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787768100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787768400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787768700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787769000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787769300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787769600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787769900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787770200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787770500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787770800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787771100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787771400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787771700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787772000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787772300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787772600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787772900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787773200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787773500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787773800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787774100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787774400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787774700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787775000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787775300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787775600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787775900,meu-assistente,ollama,chat,suse-ai,0.0001326
